video_id,title,channel,views,likes,comments,published_at
a1b2c3d4,Top 10 Tech Gadgets 2025,TechWorld,1543200,43000,2100,2025-10-12T10:00:00Z
b2c3d4e5,Cricket Highlights: India vs Australia,Star Sports,2750000,65000,5200,2025-10-11T18:30:00Z
c3d4e5f6,How to Cook Perfect Pasta,CookWithMe,860000,23000,1250,2025-10-10T14:15:00Z
d4e5f6g7,New iPhone 17 Unboxing & Review,GizmoGuru,1900000,59000,3400,2025-10-09T12:00:00Z
e5f6g7h8,Learn Python in 10 Minutes,CodeSimplify,2200000,78000,8900,2025-10-08T16:45:00Z
f6g7h8i9,Best Workout for Beginners,FitnessFlex,970000,26000,1800,2025-10-10T07:20:00Z
g7h8i9j0,Funny Pet Compilation 2025,AnimalPlanet,3100000,105000,7200,2025-10-11T20:00:00Z
h8i9j0k1,Top 5 Travel Destinations for 2026,GlobeTrotter,1450000,39000,2500,2025-10-12T09:10:00Z
i9j0k1l2,React vs Angular vs Vue in 2025,DevTalks,810000,21000,950,2025-10-09T11:30:00Z
j0k1l2m3,Music Video: Sky Dreams,StarBeats,4800000,210000,18500,2025-10-07T08:00:00Z
k1l2m3n4,SpaceX Mars Mission Update,NASA Channel,2000000,89000,6300,2025-10-11T15:00:00Z
l2m3n4o5,AI Explained: ChatGPT vs Gemini,TechInsider,1650000,72000,4500,2025-10-10T13:45:00Z
m3n4o5p6,Street Food Tour in Mumbai,FoodieExpress,1320000,47000,3800,2025-10-09T19:00:00Z
n4o5p6q7,DIY Home Decor Ideas,CreativeHands,560000,17000,950,2025-10-08T10:20:00Z
o5p6q7r8,Best Budget Laptops 2025,TechWorld,900000,31000,1900,2025-10-11T17:30:00Z
p6q7r8s9,Marvel Phase 6 Trailer Breakdown,FilmNerds,2600000,97000,7300,2025-10-12T05:00:00Z
q7r8s9t0,Learn SQL in One Hour,CodeSimplify,1950000,54000,4100,2025-10-10T09:50:00Z
r8s9t0u1,How to Save Money Effectively,FinanceGuru,780000,24000,1350,2025-10-08T13:00:00Z
s9t0u1v2,Live Concert: Arijit Singh 2025,MusicIndia,4100000,180000,15500,2025-10-12T21:00:00Z
t0u1v2w3,Daily News Bulletin 14 Oct,IndiaToday,1300000,29000,2300,2025-10-14T06:30:00Z
